Datetime,BarTrend,Barometer,TempIn,HumIn,TempOut,WindSpeed,WindSpeed10Min,WindDir,HumOut,RainRate,UV,SolarRad,RainStorm,StormStartDate,RainDay,RainMonth,RainYear,ETDay,ETMonth,ETYear,BatteryStatus,BatteryVolts,ForecastIcon,ForecastRuleNo,SunRise,SunSet,DatetimeWS,place,pm_10_3_hour,pm_10_24_hour,pm_2p5_1_hour,aqi_nowcast_val,pm_2p5_nowcast,pm_2p5_24_hour,pm_1,aqi_val,pm_2p5_3_hour,aqi_1_hour_val,pm_10_nowcast,pm_10_1_hour,pm_10,pm_2p5
2025-12-22T00:04:00Z,0,29.784,66.3,56,54.3,4,4,77,77,0.0,255,32767,0.0,2127-15-31,0.0,0.49,50.37,0.0,0.0,0.0,0,0.732421875,3,192,07:17,16:51,2025-12-22 00:04:00.072202,Castel Volturno,19.237518,20.328066,17.266634,29.98135,17.98881,18.022095,12.565217,27.512077,17.581297,28.777723,19.771675,18.87365,18.289856,16.507246
2025-12-22T00:04:10Z,0,29.784,66.3,56,54.3,4,4,9,77,0.0,255,32767,0.0,2127-15-31,0.0,0.49,50.37,0.0,0.0,0.0,0,0.732421875,3,192,07:17,16:51,2025-12-22 00:04:10.626256,Castel Volturno,19.237518,20.328066,17.266634,29.98135,17.98881,18.022095,12.565217,27.512077,17.581297,28.777723,19.771675,18.87365,18.289856,16.507246
2025-12-22T00:04:21Z,0,29.784,66.3,56,54.3,7,4,53,77,0.0,255,32767,0.0,2127-15-31,0.0,0.49,50.37,0.0,0.0,0.0,0,0.732421875,3,192,07:17,16:51,2025-12-22 00:04:21.180200,Castel Volturno,19.237518,20.328066,17.266634,29.98135,17.98881,18.022095,12.565217,27.512077,17.581297,28.777723,19.771675,18.87365,18.289856,16.507246
2025-12-22T00:04:31Z,0,29.784,66.3,56,54.3,4,4,76,77,0.0,255,32767,0.0,2127-15-31,0.0,0.49,50.37,0.0,0.0,0.0,0,0.732421875,3,192,07:17,16:51,2025-12-22 00:04:31.735208,Castel Volturno,18.915344,20.24093,17.102736,29.636198,17.78172,17.946806,14.2,30.142857,17.292328,28.504559,19.513294,18.677628,19.6,18.085714
2025-12-22T00:04:43Z,0,29.784,66.3,56,54.3,4,4,18,77,0.0,255,32767,0.0,2127-15-31,0.0,0.49,50.37,0.0,0.0,0.0,0,0.732421875,3,192,07:17,16:51,2025-12-22 00:04:43.550198,Castel Volturno,18.915344,20.24093,17.102736,29.636198,17.78172,17.946806,14.2,30.142857,17.292328,28.504559,19.513294,18.677628,19.6,18.085714
2025-12-22T00:04:54Z,0,29.784,66.3,56,54.3,3,4,40,77,0.0,255,32767,0.0,2127-15-31,0.0,0.49,50.37,0.0,0.0,0.0,0,0.732421875,3,192,07:17,16:51,2025-12-22 00:04:54.137162,Castel Volturno,18.915344,20.24093,17.102736,29.636198,17.78172,17.946806,14.2,30.142857,17.292328,28.504559,19.513294,18.677628,19.6,18.085714
2025-12-22T00:05:04Z,0,29.782,66.3,56,54.3,5,4,5,77,0.0,255,32767,0.0,2127-15-31,0.0,0.49,50.37,0.0,0.0,0.0,0,0.732421875,3,192,07:17,16:51,2025-12-22 00:05:04.691197,Castel Volturno,18.915344,20.24093,17.102736,29.636198,17.78172,17.946806,14.2,30.142857,17.292328,28.504559,19.513294,18.677628,19.6,18.085714
2025-12-22T00:05:15Z,0,29.782,66.3,56,54.3,6,4,39,77,0.0,255,32767,0.0,2127-15-31,0.0,0.49,50.37,0.0,0.0,0.0,0,0.732421875,3,192,07:17,16:51,2025-12-22 00:05:15.245193,Castel Volturno,18.915344,20.24093,17.102736,29.636198,17.78172,17.946806,14.2,30.142857,17.292328,28.504559,19.513294,18.677628,19.6,18.085714
2025-12-22T00:05:25Z,0,29.782,66.3,56,54.3,3,4,56,77,0.0,255,32767,0.0,2127-15-31,0.0,0.49,50.37,0.0,0.0,0.0,0,0.732421875,3,192,07:17,16:51,2025-12-22 00:05:25.799210,Castel Volturno,18.915344,20.24093,17.102736,29.636198,17.78172,17.946806,14.2,30.142857,17.292328,28.504559,19.513294,18.677628,19.6,18.085714
2025-12-22T00:05:36Z,0,29.782,66.3,56,54.3,9,4,44,77,0.0,255,32767,0.0,2127-15-31,0.0,0.49,50.37,0.0,0.0,0.0,0,0.732421875,3,192,07:17,16:51,2025-12-22 00:05:36.344159,Castel Volturno,18.915344,20.24093,17.102736,29.636198,17.78172,17.946806,14.2,30.142857,17.292328,28.504559,19.513294,18.677628,19.6,18.085714
2025-12-22T00:05:47Z,0,29.782,66.3,56,54.2,6,4,99,77,0.0,255,32767,0.0,2127-15-31,0.0,0.49,50.37,0.0,0.0,0.0,0,0.732421875,3,192,07:17,16:51,2025-12-22 00:05:46.898199,Castel Volturno,18.915344,20.24093,17.102736,29.636198,17.78172,17.946806,14.2,30.142857,17.292328,28.504559,19.513294,18.677628,19.6,18.085714
2025-12-22T00:05:57Z,0,29.782,66.3,56,54.3,3,4,57,77,0.0,255,32767,0.0,2127-15-31,0.0,0.49,50.37,0.0,0.0,0.0,0,0.732421875,3,192,07:17,16:51,2025-12-22 00:05:57.452219,Castel Volturno,18.915344,20.24093,17.102736,29.636198,17.78172,17.946806,14.2,30.142857,17.292328,28.504559,19.513294,18.677628,19.6,18.085714
2025-12-22T00:06:08Z,0,29.78,66.3,56,54.3,5,4,38,77,0.0,255,32767,0.0,2127-15-31,0.0,0.49,50.37,0.0,0.0,0.0,0,0.73828125,3,192,07:17,16:51,2025-12-22 00:06:08.006210,Castel Volturno,18.915344,20.24093,17.102736,29.636198,17.78172,17.946806,14.2,30.142857,17.292328,28.504559,19.513294,18.677628,19.6,18.085714
2025-12-22T00:06:18Z,0,29.78,66.3,56,54.3,3,4,104,77,0.0,255,32767,0.0,2127-15-31,0.0,0.49,50.37,0.0,0.0,0.0,0,0.73828125,3,192,07:17,16:51,2025-12-22 00:06:18.560191,Castel Volturno,18.915344,20.24093,17.102736,29.636198,17.78172,17.946806,14.2,30.142857,17.292328,28.504559,19.513294,18.677628,19.6,18.085714
2025-12-22T00:06:29Z,0,29.78,66.3,56,54.3,5,4,11,77,0.0,255,32767,0.0,2127-15-31,0.0,0.49,50.37,0.0,0.0,0.0,0,0.73828125,3,192,07:17,16:51,2025-12-22 00:06:29.114159,Castel Volturno,18.915344,20.24093,17.102736,29.636198,17.78172,17.946806,14.2,30.142857,17.292328,28.504559,19.513294,18.677628,19.6,18.085714
2025-12-22T00:06:39Z,0,29.78,66.3,56,54.3,4,4,67,77,0.0,255,32767,0.0,2127-15-31,0.0,0.49,50.37,0.0,0.0,0.0,0,0.73828125,3,192,07:17,16:51,2025-12-22 00:06:39.668166,Castel Volturno,18.915344,20.24093,17.102736,29.636198,17.78172,17.946806,14.2,30.142857,17.292328,28.504559,19.513294,18.677628,19.6,18.085714
2025-12-22T00:06:50Z,0,29.78,66.3,56,54.3,3,4,19,77,0.0,255,32767,0.0,2127-15-31,0.0,0.49,50.37,0.0,0.0,0.0,0,0.73828125,3,192,07:17,16:51,2025-12-22 00:06:50.222201,Castel Volturno,18.915344,20.24093,17.102736,29.636198,17.78172,17.946806,14.2,30.142857,17.292328,28.504559,19.513294,18.677628,19.6,18.085714
2025-12-22T00:07:01Z,0,29.78,66.3,56,54.3,8,4,99,77,0.0,255,32767,0.0,2127-15-31,0.0,0.49,50.37,0.0,0.0,0.0,0,0.75,3,192,07:17,16:51,2025-12-22 00:07:00.811186,Castel Volturno,18.915344,20.24093,17.102736,29.636198,17.78172,17.946806,14.2,30.142857,17.292328,28.504559,19.513294,18.677628,19.6,18.085714
2025-12-22T00:07:11Z,0,29.78,66.3,56,54.3,5,4,71,77,0.0,255,32767,0.0,2127-15-31,0.0,0.49,50.37,0.0,0.0,0.0,0,0.75,3,192,07:17,16:51,2025-12-22 00:07:11.365199,Castel Volturno,18.915344,20.24093,17.102736,29.636198,17.78172,17.946806,14.2,30.142857,17.292328,28.504559,19.513294,18.677628,19.6,18.085714
2025-12-22T00:07:22Z,0,29.78,66.3,56,54.3,6,4,33,77,0.0,255,32767,0.0,2127-15-31,0.0,0.49,50.37,0.0,0.0,0.0,0,0.75,3,192,07:17,16:51,2025-12-22 00:07:21.919190,Castel Volturno,18.915344,20.24093,17.102736,29.636198,17.78172,17.946806,14.2,30.142857,17.292328,28.504559,19.513294,18.677628,19.6,18.085714
2025-12-22T00:07:32Z,0,29.78,66.3,56,54.3,5,4,30,77,0.0,255,32767,0.0,2127-15-31,0.0,0.49,50.37,0.0,0.0,0.0,0,0.75,3,192,07:17,16:51,2025-12-22 00:07:32.473200,Castel Volturno,18.915344,20.24093,17.102736,29.636198,17.78172,17.946806,14.2,30.142857,17.292328,28.504559,19.513294,18.677628,19.6,18.085714
2025-12-22T00:07:43Z,0,29.78,66.3,56,54.3,5,4,84,77,0.0,255,32767,0.0,2127-15-31,0.0,0.49,50.37,0.0,0.0,0.0,0,0.75,3,192,07:17,16:51,2025-12-22 00:07:43.025205,Castel Volturno,18.915344,20.24093,17.102736,29.636198,17.78172,17.946806,14.2,30.142857,17.292328,28.504559,19.513294,18.677628,19.6,18.085714
2025-12-22T00:07:53Z,0,29.78,66.3,56,54.3,3,4,72,77,0.0,255,32767,0.0,2127-15-31,0.0,0.49,50.37,0.0,0.0,0.0,0,0.75,3,192,07:17,16:51,2025-12-22 00:07:53.579199,Castel Volturno,18.915344,20.24093,17.102736,29.636198,17.78172,17.946806,14.2,30.142857,17.292328,28.504559,19.513294,18.677628,19.6,18.085714
2025-12-22T00:08:04Z,0,29.781,66.3,56,54.3,4,4,15,77,0.0,255,32767,0.0,2127-15-31,0.0,0.49,50.37,0.0,0.0,0.0,0,0.84375,3,192,07:17,16:51,2025-12-22 00:08:04.133192,Castel Volturno,18.915344,20.24093,17.102736,29.636198,17.78172,17.946806,14.2,30.142857,17.292328,28.504559,19.513294,18.677628,19.6,18.085714
2025-12-22T00:08:14Z,0,29.781,66.3,56,54.3,3,4,27,77,0.0,255,32767,0.0,2127-15-31,0.0,0.49,50.37,0.0,0.0,0.0,0,0.84375,3,192,07:17,16:51,2025-12-22 00:08:14.687219,Castel Volturno,18.915344,20.24093,17.102736,29.636198,17.78172,17.946806,14.2,30.142857,17.292328,28.504559,19.513294,18.677628,19.6,18.085714
2025-12-22T00:08:25Z,0,29.781,66.3,56,54.3,9,4,71,77,0.0,255,32767,0.0,2127-15-31,0.0,0.49,50.37,0.0,0.0,0.0,0,0.84375,3,192,07:17,16:51,2025-12-22 00:08:25.241194,Castel Volturno,18.915344,20.24093,17.102736,29.636198,17.78172,17.946806,14.2,30.142857,17.292328,28.504559,19.513294,18.677628,19.6,18.085714
